iter	Passed	Remaining
272	2278	6066
273	2286	6057
274	2293	6047
275	2302	6038
276	2309	6029
277	2318	6021
278	2326	6012
279	2334	6002
280	2342	5993
281	2350	5985
282	2358	5976
283	2366	5967
284	2375	5958
285	2383	5949
286	2391	5941
287	2399	5932
288	2407	5924
289	2416	5915
290	2424	5907
291	2432	5899
292	2440	5889
293	2448	5879
294	2456	5870
295	2464	5861
296	2472	5852
297	2480	5843
298	2488	5834
299	2497	5827
300	2505	5818
301	2522	5829
302	2530	5820
303	2538	5812
304	2547	5804
305	2555	5795
306	2563	5786
307	2571	5777
308	2584	5778
309	2591	5769
310	2600	5761
311	2609	5754
312	2617	5744
313	2625	5736
314	2633	5727
315	2642	5719
316	2650	5710
317	2658	5702
318	2666	5693
319	2674	5684
320	2684	5677
321	2692	5669
322	2700	5660
323	2708	5651
324	2717	5643
325	2726	5637
326	2735	5630
327	2744	5623
328	2753	5616
329	2762	5609
330	2772	5602
331	2781	5596
332	2789	5588
333	2798	5580
334	2807	5574
335	2817	5567
336	2826	5560
337	2835	5553
338	2853	5563
339	2862	5556
340	2870	5548
341	2878	5538
342	2888	5532
343	2897	5525
344	2905	5517
345	2914	5508
346	2922	5500
347	2930	5490
348	2939	5482
349	2946	5472
350	2955	5464
351	2963	5455
352	2971	5446
353	2980	5438
354	2987	5428
355	2997	5422
356	3005	5414
357	3014	5405
358	3022	5397
359	3031	5388
360	3039	5380
361	3048	5372
362	3056	5363
363	3065	5355
364	3073	5347
365	3081	5338
366	3089	5329
367	3097	5320
368	3106	5311
369	3114	5302
370	3122	5293
371	3130	5284
372	3138	5275
373	3146	5266
374	3155	5258
375	3163	5249
376	3171	5241
377	3180	5232
378	3188	5224
379	3197	5216
380	3206	5209
381	3214	5200
382	3223	5192
383	3231	5184
384	3239	5174
385	3247	5165
386	3255	5156
387	3263	5147
388	3271	5138
389	3279	5130
390	3288	5121
391	3296	5113
392	3304	5104
393	3313	5095
394	3321	5087
395	3329	5078
396	3337	5069
397	3345	5060
398	3353	5051
399	3361	5042
400	3370	5034
401	3378	5025
402	3386	5016
403	3394	5008
404	3402	4999
405	3411	4990
406	3419	4981
407	3427	4973
408	3436	4965
409	3443	4955
410	3451	4946
411	3459	4937
412	3468	4929
413	3476	4920
414	3484	4911
415	3492	4902
416	3500	4894
417	3508	4885
418	3517	4877
419	3525	4868
420	3535	4861
421	3543	4852
422	3551	4844
423	3559	4835
424	3567	4826
425	3575	4818
426	3583	4809
427	3592	4800
428	3600	4791
429	3608	4783
430	3616	4774
431	3625	4766
432	3633	4757
433	3641	4748
434	3649	4739
435	3657	4730
436	3665	4722
437	3673	4713
438	3681	4705
439	3689	4696
440	3697	4687
441	3706	4679
442	3714	4670
443	3722	4661
444	3730	4653
445	3739	4645
446	3747	4636
447	3755	4627
448	3764	4619
449	3772	4611
450	3781	4602
451	3789	4594
452	3797	4586
453	3806	4577
454	3815	4569
455	3822	4560
456	3831	4551
457	3839	4543
458	3847	4535
459	3856	4526
460	3864	4518
461	3872	4509
462	3880	4501
463	3888	4492
464	3899	4486
465	3908	4478
466	3916	4469
467	3924	4460
468	3932	4452
469	3940	4443
470	3949	4435
471	3957	4426
472	3965	4418
473	3973	4409
474	3981	4401
475	3990	4392
476	3998	4383
477	4005	4374
478	4013	4365
479	4021	4356
480	4029	4347
481	4037	4339
482	4046	4330
483	4054	4322
484	4062	4313
485	4070	4304
486	4078	4295
487	4085	4286
488	4094	4278
489	4102	4269
490	4110	4260
491	4118	4252
492	4126	4243
493	4134	4235
494	4142	4226
495	4150	4217
496	4158	4209
497	4167	4201
498	4176	4193
499	4184	4184
500	4192	4175
501	4200	4166
502	4208	4158
503	4216	4150
504	4225	4141
505	4233	4133
506	4241	4124
507	4249	4115
508	4257	4107
509	4265	4098
510	4273	4089
511	4282	4081
512	4291	4073
513	4298	4064
514	4307	4056
515	4315	4048
516	4324	4039
517	4332	4031
518	4340	4022
519	4348	4014
520	4356	4005
521	4364	3996
522	4372	3988
523	4380	3979
524	4389	3971
525	4396	3962
526	4404	3953
527	4412	3944
528	4420	3935
529	4429	3927
530	4437	3919
531	4450	3915
532	4458	3906
533	4467	3898
534	4475	3889
535	4482	3880
536	4490	3871
537	4499	3864
538	4507	3855
539	4516	3847
540	4525	3839
541	4534	3832
542	4543	3824
543	4551	3815
544	4560	3807
545	4569	3799
546	4578	3791
547	4587	3783
548	4595	3775
549	4603	3766
550	4610	3757
551	4618	3748
552	4626	3739
553	4638	3734
554	4647	3726
555	4655	3717
556	4663	3708
557	4671	3700
558	4679	3691
559	4688	3683
560	4697	3675
561	4705	3667
562	4713	3658
563	4722	3650
564	4730	3641
565	4738	3633
566	4746	3625
567	4754	3616
568	4762	3607
569	4770	3598
570	4778	3590
571	4787	3581
572	4795	3573
573	4803	3564
574	4811	3556
575	4819	3547
576	4827	3539
577	4835	3530
578	4843	3521
579	4851	3513
580	4860	3505
581	4869	3497
582	4878	3489
583	4887	3481
584	4897	3474
585	4907	3466
586	4916	3459
587	4926	3451
588	4935	3443
589	4944	3435
590	4953	3428
591	4962	3419
592	4971	3411
593	4980	3403
594	4989	3396
595	4998	3388
596	5008	3381
597	5018	3373
598	5026	3365
599	5035	3356
600	5043	3348
601	5052	3340
602	5060	3331
603	5069	3323
604	5077	3314
605	5085	3306
606	5094	3298
607	5102	3289
608	5110	3280
609	5118	3272
610	5126	3263
611	5134	3255
612	5142	3246
613	5151	3238
614	5160	3230
615	5168	3221
616	5176	3213
617	5184	3204
618	5192	3196
619	5201	3187
620	5209	3179
621	5218	3171
622	5226	3162
623	5234	3154
624	5242	3145
625	5250	3136
626	5258	3128
627	5266	3119
628	5274	3111
629	5283	3103
630	5292	3094
631	5300	3086
632	5308	3077
633	5316	3069
634	5324	3060
635	5332	3052
636	5341	3043
637	5349	3035
638	5357	3026
639	5366	3018
640	5374	3009
641	5382	3001
642	5390	2992
643	5399	2984
644	5407	2976
645	5415	2967
646	5423	2959
647	5432	2950
648	5440	2942
649	5448	2933
650	5456	2925
651	5464	2916
652	5472	2908
653	5481	2899
654	5489	2891
655	5498	2883
656	5506	2874
657	5517	2867
658	5526	2859
659	5541	2854
660	5551	2846
661	5572	2845
662	5581	2836
663	5590	2829
664	5599	2820
665	5608	2812
666	5617	2804
667	5625	2795
668	5633	2787
669	5642	2779
670	5651	2771
671	5660	2763
672	5669	2754
673	5677	2746
674	5686	2737
675	5695	2729
676	5704	2721
677	5712	2713
678	5721	2704
679	5730	2696
680	5739	2688
681	5748	2680
682	5757	2672
683	5765	2663
684	5774	2655
685	5782	2646
686	5791	2638
687	5800	2630
688	5809	2622
689	5817	2613
690	5826	2605
691	5835	2597
692	5843	2588
693	5852	2580
694	5860	2572
695	5870	2564
696	5878	2555
697	5887	2547
698	5896	2539
699	5906	2531
700	5916	2523
701	5925	2515
702	5935	2507
703	5943	2498
704	5951	2490
705	5960	2482
706	5969	2473
707	5979	2465
708	5988	2458
709	5997	2449
710	6006	2441
711	6015	2433
712	6024	2425
713	6033	2416
714	6042	2408
715	6050	2400
716	6060	2392
717	6068	2383
718	6076	2374
719	6084	2366
720	6092	2357
721	6101	2349
722	6109	2340
723	6118	2332
724	6126	2323
725	6135	2315
726	6143	2307
727	6151	2298
728	6159	2289
729	6168	2281
730	6176	2272
731	6184	2264
732	6192	2255
733	6200	2247
734	6208	2238
735	6217	2230
736	6225	2221
737	6233	2213
738	6242	2204
739	6250	2196
740	6259	2187
741	6267	2179
742	6275	2170
743	6283	2162
744	6291	2153
745	6299	2144
746	6307	2136
747	6315	2127
748	6323	2119
749	6332	2110
750	6340	2102
751	6349	2093
752	6361	2086
753	6376	2080
754	6389	2073
755	6397	2064
756	6406	2056
757	6414	2047
758	6422	2039
759	6430	2030
760	6439	2022
761	6447	2013
762	6455	2005
763	6462	1996
764	6471	1987
765	6479	1979
766	6487	1970
767	6495	1962
768	6503	1953
769	6511	1944
770	6519	1936
771	6528	1927
772	6536	1919
773	6546	1911
774	6555	1903
775	6563	1894
776	6571	1886
777	6579	1877
778	6587	1868
779	6596	1860
780	6604	1851
781	6613	1843
782	6621	1835
783	6629	1826
784	6637	1817
785	6645	1809
786	6653	1800
787	6661	1792
788	6669	1783
789	6678	1775
790	6686	1766
791	6694	1758
792	6703	1749
793	6711	1741
794	6719	1732
795	6728	1724
796	6736	1715
797	6744	1707
798	6751	1698
799	6759	1689
800	6767	1681
801	6776	1672
802	6784	1664
803	6792	1655
804	6801	1647
805	6809	1638
806	6817	1630
807	6825	1621
808	6833	1613
809	6841	1604
810	6849	1596
811	6856	1587
812	6864	1578
813	6872	1570
814	6880	1561
815	6888	1553
816	6896	1544
817	6904	1536
818	6914	1528
819	6922	1519
820	6932	1511
821	6940	1502
822	6948	1494
823	6956	1485
824	6964	1477
825	6973	1468
826	6981	1460
827	6989	1452
828	6997	1443
829	7005	1434
830	7014	1426
831	7022	1418
832	7031	1409
833	7040	1401
834	7049	1392
835	7062	1385
836	7071	1377
837	7080	1368
838	7090	1360
839	7098	1352
840	7108	1343
841	7117	1335
842	7127	1327
843	7136	1318
844	7144	1310
845	7153	1302
846	7162	1293
847	7170	1285
848	7178	1276
849	7186	1268
850	7194	1259
851	7202	1251
852	7210	1242
853	7219	1234
854	7227	1225
855	7235	1217
856	7243	1208
857	7251	1200
858	7259	1191
859	7268	1183
860	7276	1174
861	7284	1166
862	7293	1157
863	7301	1149
864	7309	1140
865	7325	1133
866	7333	1124
867	7341	1116
868	7349	1107
869	7357	1099
870	7365	1090
871	7374	1082
872	7382	1073
873	7390	1065
874	7398	1056
875	7406	1048
876	7414	1039
877	7422	1031
878	7430	1022
879	7439	1014
880	7447	1005
881	7455	997
882	7463	988
883	7471	980
884	7480	972
885	7489	963
886	7496	955
887	7505	946
888	7513	938
889	7520	929
890	7528	921
891	7537	912
892	7545	904
893	7553	895
894	7561	887
895	7569	878
896	7578	870
897	7587	861
898	7596	853
899	7604	844
900	7613	836
901	7622	828
902	7630	819
903	7638	811
904	7647	802
905	7657	794
906	7666	786
907	7674	777
908	7682	769
909	7689	760
910	7697	752
911	7706	743
912	7713	735
913	7722	726
914	7729	718
915	7738	709
916	7746	701
917	7754	692
918	7768	684
919	7776	676
920	7784	667
921	7792	659
922	7801	650
923	7808	642
924	7817	633
925	7825	625
926	7833	616
927	7841	608
928	7848	599
929	7857	591
930	7865	582
931	7873	574
932	7882	566
933	7890	557
934	7898	549
935	7906	540
936	7914	532
937	7924	523
938	7932	515
939	7941	506
940	7949	498
941	7958	490
942	7966	481
943	7975	473
944	7983	464
945	7991	456
946	7999	447
947	8007	439
948	8015	430
949	8023	422
950	8032	413
951	8040	405
952	8048	396
953	8056	388
954	8064	380
955	8073	371
956	8081	363
957	8089	354
958	8097	346
959	8106	337
960	8114	329
961	8122	320
962	8130	312
963	8139	303
964	8147	295
965	8155	287
966	8163	278
967	8171	270
968	8179	261
969	8187	253
970	8195	244
971	8204	236
972	8212	227
973	8219	219
974	8227	210
975	8235	202
976	8243	194
977	8252	185
978	8260	177
979	8268	168
980	8276	160
981	8285	151
982	8293	143
983	8301	134
984	8310	126
985	8318	118
986	8326	109
987	8334	101
988	8342	92
989	8350	84
990	8359	75
991	8367	67
992	8374	59
993	8383	50
994	8392	42
995	8399	33
996	8408	25
997	8416	16
998	8424	8
999	8433	0
