iter	Logloss
122	0.2257366457
123	0.2257057818
124	0.2256663734
125	0.2256377285
126	0.2256272615
127	0.2255701422
128	0.2255073162
129	0.2254276051
130	0.2253823536
131	0.2253348678
132	0.2252792374
133	0.2252643901
134	0.2251746662
135	0.2251136599
136	0.2251072401
137	0.2250446764
138	0.2250137477
139	0.2249929631
140	0.2249721977
141	0.2249198987
142	0.2248633934
143	0.224835222
144	0.2247325261
145	0.2247033744
146	0.2246703501
147	0.2245969644
148	0.2245725229
149	0.2245427328
150	0.2245129908
151	0.2244844533
152	0.2244446357
153	0.2244143964
154	0.2243403604
155	0.2243376442
156	0.2243338096
157	0.2243138818
158	0.2242990395
159	0.224259117
160	0.2242361364
161	0.2242113797
162	0.2241821677
163	0.2241308095
164	0.2241085905
165	0.2240980899
166	0.2240812662
167	0.224057045
168	0.2240393881
169	0.2239972857
170	0.2239581962
171	0.2238936329
172	0.2238392078
173	0.2237925353
174	0.2237469611
175	0.2237211361
176	0.2236940148
177	0.2236507698
178	0.2236200386
179	0.2235934924
180	0.2235605029
181	0.2235248877
182	0.2234765014
183	0.2234610024
184	0.2234206054
185	0.22339064
186	0.2233767363
187	0.2233060828
188	0.2232966862
189	0.2232706143
190	0.2232559445
191	0.2232205484
192	0.2231838172
193	0.2231245772
194	0.2230851582
195	0.2230410086
196	0.222993372
197	0.2229747559
198	0.2229385007
199	0.2229151137
200	0.2228415148
201	0.2228221578
202	0.2227951043
203	0.2227397742
204	0.2227178146
205	0.222705667
206	0.2226601993
207	0.2226303608
208	0.2226119327
209	0.222566838
210	0.2225201409
211	0.2224286717
212	0.2223868511
213	0.2223634518
214	0.2223067854
215	0.2222278153
216	0.2221944422
217	0.222163924
218	0.2221104363
219	0.222088078
220	0.2220285855
221	0.2219970469
222	0.2219733516
223	0.221920284
224	0.2218927013
225	0.221841165
226	0.22178972
227	0.2217757886
228	0.2217268113
229	0.2216966486
230	0.2216417835
231	0.2216044326
232	0.2215983906
233	0.2215499929
234	0.2214674514
235	0.2214207164
236	0.2213998778
237	0.2213441589
238	0.2213045849
239	0.2212612444
240	0.2211980953
241	0.2211650695
242	0.2211216111
243	0.2210968262
244	0.2210591404
245	0.2210462856
246	0.2210163364
247	0.2209894968
248	0.2209682546
249	0.2209180014
250	0.2208646754
251	0.2208257684
252	0.2208130279
253	0.2207534094
254	0.2207226359
255	0.2206836162
256	0.2206243793
257	0.220552959
258	0.2205168248
259	0.2204891657
260	0.2204494884
261	0.2204058845
262	0.220381742
263	0.2203283045
264	0.2202582571
265	0.2202075742
266	0.2201640438
267	0.2201129308
268	0.2200856245
269	0.2200274429
270	0.2200171414
271	0.2199460622
272	0.2198933791
273	0.2198557591
274	0.2197941271
275	0.2197536038
276	0.2197448854
277	0.2197094496
278	0.2196691108
279	0.2196438848
280	0.2195947823
281	0.2195643548
282	0.2195465676
283	0.2195109986
284	0.2194879578
285	0.2194332582
286	0.2193881454
287	0.2193582648
288	0.2193013889
289	0.2192637301
290	0.2192554045
291	0.2192411848
292	0.2192076793
293	0.2191683512
294	0.2191378022
295	0.2191034103
296	0.21907932
297	0.2190343735
298	0.2189841117
299	0.2189314254
300	0.2188735483
301	0.2188434802
302	0.2187912371
303	0.2187421099
304	0.218714847
305	0.2186784841
306	0.2186339886
307	0.2186039126
308	0.2185290356
309	0.2184854814
310	0.2184157741
311	0.2183778326
312	0.2183378735
313	0.2182869279
314	0.2182550966
315	0.2182055022
316	0.2181670672
317	0.2181127207
318	0.2180800085
319	0.2180409907
320	0.2180083999
321	0.2179585123
322	0.2179409851
323	0.2179106195
324	0.2178689673
325	0.2178530075
326	0.217804187
327	0.2177741736
328	0.2177387608
329	0.2176978429
330	0.2176519951
331	0.2176319578
332	0.2176034545
333	0.2175428816
334	0.2175008614
335	0.2174552537
336	0.2174439114
337	0.2174088827
338	0.2173562861
339	0.2173142259
340	0.2172692198
341	0.2172325049
342	0.2171825948
343	0.2171564639
344	0.2171057694
345	0.2170514602
346	0.2170223814
347	0.2169940516
348	0.2169570578
349	0.2168832873
350	0.2168413618
351	0.2167991872
352	0.2167514004
353	0.2167089055
354	0.2166639854
355	0.216623699
356	0.2165581479
357	0.2165078223
358	0.2164757003
359	0.216456354
360	0.2164404825
361	0.2164297005
362	0.2164021889
363	0.2163564582
364	0.2163396528
365	0.216304014
366	0.216279526
367	0.2162512984
368	0.2161921905
369	0.216133787
370	0.2161174893
371	0.2160870714
372	0.2160533057
373	0.216015436
374	0.2159770312
375	0.2159520802
376	0.2159402866
377	0.215893967
378	0.2158649192
379	0.2158338
380	0.2158141027
381	0.2157570418
382	0.2157233922
383	0.2156711944
384	0.2156400829
385	0.2155882475
386	0.2155604596
387	0.2155285812
388	0.2154812764
389	0.2154545511
390	0.2154065954
391	0.2153793975
392	0.2153409353
393	0.2153098751
394	0.2152816701
395	0.2152536782
396	0.2152203906
397	0.2151803039
398	0.2151781215
399	0.2151738972
400	0.2151447842
401	0.2150994933
402	0.2150689939
403	0.2150244772
404	0.2149951208
405	0.2149672167
406	0.2149290328
407	0.2148791269
408	0.2148448044
409	0.2148124472
410	0.2147669927
411	0.2147307315
412	0.2146885739
413	0.2146569909
414	0.214635034
415	0.2145945968
416	0.2145638194
417	0.2145568449
418	0.2145203558
419	0.2144725314
420	0.2144343773
421	0.2143934984
422	0.2143364887
423	0.2143039698
424	0.214274445
425	0.2142494159
426	0.2142348865
427	0.2141848474
428	0.2141417807
429	0.2141110632
430	0.2140756473
431	0.2140442453
432	0.2140148474
433	0.2139655393
434	0.2139216739
435	0.2138956722
436	0.2138608417
437	0.213809
438	0.2137823473
439	0.2137413263
440	0.2137093775
441	0.2136711503
442	0.2136629684
443	0.2136319579
444	0.2136180592
445	0.2135671226
446	0.213511029
447	0.2134685852
448	0.2134368
449	0.2134123491
450	0.2133833832
451	0.2133538611
452	0.2133161629
453	0.2132863707
454	0.2132403203
455	0.2131945486
456	0.2131635653
457	0.2131423013
458	0.2131028023
459	0.2130888268
460	0.2130662923
461	0.2130099218
462	0.2129929527
463	0.2129550597
464	0.2129532635
465	0.2129197013
466	0.2129067161
467	0.2128900151
468	0.2128338836
469	0.2127956955
470	0.2127372305
471	0.2126903321
472	0.2126790995
473	0.2126491898
474	0.2126229812
475	0.2125936705
476	0.2125570369
477	0.2125103291
478	0.2124820926
479	0.212461123
480	0.2124207582
481	0.2123865768
482	0.2123685077
483	0.2123413715
484	0.2123257587
485	0.2122984081
486	0.2122812761
487	0.2122442413
488	0.2122232799
489	0.2122029549
490	0.2121601563
491	0.2121103197
492	0.2120676585
493	0.2120347597
494	0.2119843522
495	0.2119371285
496	0.2118891905
497	0.2118709691
498	0.2118353562
499	0.2118014854
500	0.2117733806
501	0.2117433535
502	0.2117057965
503	0.2116814449
504	0.2116453008
505	0.2115968006
506	0.2115685668
507	0.2115313475
508	0.2114917976
509	0.2114584391
510	0.211430646
511	0.2114134637
512	0.2113600222
513	0.2113201016
514	0.2112805377
515	0.211231857
516	0.2112084007
517	0.2111812435
518	0.2111493643
519	0.2111106173
520	0.2110739833
521	0.2110260818
522	0.2110045121
523	0.2109555513
524	0.2109333925
525	0.210891445
526	0.21085923
527	0.2108242917
528	0.2108112244
529	0.2107764218
530	0.2107452546
531	0.2107102517
532	0.2106655395
533	0.2106177546
534	0.2105715862
535	0.2105425955
536	0.2105197017
537	0.2105078679
538	0.2104683435
539	0.210441965
540	0.2104156164
541	0.2104033387
542	0.2103614557
543	0.2103303785
544	0.2103013456
545	0.2102748897
546	0.2102315589
547	0.2101992571
548	0.2101664511
549	0.2101211318
550	0.2101062316
551	0.2100545034
552	0.2100179349
553	0.2099585379
554	0.2099187314
555	0.2099077772
556	0.209875861
557	0.2098501733
558	0.2098386934
559	0.209817133
560	0.2097948963
561	0.2097385504
562	0.2096885958
563	0.2096429821
564	0.2096199612
565	0.2095867201
566	0.2095315079
567	0.2094597023
568	0.2094132823
569	0.2093729184
570	0.2093324713
571	0.2092782227
572	0.2092547651
573	0.2092201352
574	0.2091906565
575	0.2091729155
576	0.2091413949
577	0.209108684
578	0.2090466485
579	0.2090444453
580	0.2090262173
581	0.2090035695
582	0.2089698617
583	0.2089543788
584	0.2089104188
585	0.2088738575
586	0.2088470362
587	0.2088057512
588	0.2087675214
589	0.2087264982
590	0.2087032694
591	0.2086513157
592	0.2086132248
593	0.2085974104
594	0.2085431372
595	0.208517138
596	0.2084913991
597	0.2084496473
598	0.2084238279
599	0.2083708148
600	0.2083517126
601	0.208320921
602	0.2082730601
603	0.2082296492
604	0.2082005671
605	0.2081640855
606	0.208139717
607	0.2081160337
608	0.2080903062
609	0.20806651
610	0.2080124248
611	0.2079570474
612	0.2079176604
613	0.2078802322
614	0.2078528061
615	0.2078082811
616	0.2077725434
617	0.2077368396
618	0.2077070452
619	0.2077051494
620	0.207680596
621	0.2076486226
622	0.2076039529
623	0.2075802568
624	0.2075628945
625	0.2075278622
626	0.2074984723
627	0.2074535973
628	0.2074139594
629	0.2073816845
630	0.2073642434
631	0.2073226144
632	0.2072974411
633	0.2072652254
634	0.207202388
635	0.2071674806
636	0.207146773
637	0.2070875761
638	0.2070419073
639	0.2069836728
640	0.2069793989
641	0.206953427
642	0.2069106842
643	0.2068883861
644	0.2068591122
645	0.2068213994
646	0.2067825575
647	0.2067558686
648	0.2067303234
649	0.2067089481
650	0.2066785041
651	0.2066355682
652	0.2066172436
653	0.2065955849
654	0.2065558593
655	0.2065253518
656	0.2064940811
657	0.2064522013
658	0.2064436977
659	0.2063926177
660	0.2063327798
661	0.206296667
662	0.2062642009
663	0.2062389541
664	0.2062128303
665	0.2061897623
666	0.2061725644
667	0.2061483279
668	0.2060976544
669	0.2060589813
670	0.206010247
671	0.2059886037
672	0.2059511857
673	0.2059101111
674	0.2058957718
675	0.2058555508
676	0.2058174
677	0.2057882412
678	0.2057517157
679	0.2057193131
680	0.2056662401
681	0.2056464939
682	0.2056306914
683	0.2055793859
684	0.2055451279
685	0.2054880042
686	0.2054479239
687	0.2054103018
688	0.2054095719
689	0.2053873479
690	0.2053653484
691	0.2053474914
692	0.2053277042
693	0.2052780684
694	0.2052433347
695	0.2052001275
696	0.2051821855
697	0.205139289
698	0.2051136257
699	0.2050816581
700	0.2050488208
701	0.205037349
702	0.2050256825
703	0.2050025205
704	0.2049696426
705	0.2049519844
706	0.2049225201
707	0.2048731177
708	0.2048444628
709	0.2048335111
710	0.2048223158
711	0.2047755776
712	0.2047321736
713	0.2047088171
714	0.2046614786
715	0.2046208731
716	0.2045835775
717	0.2045455153
718	0.2045351582
719	0.2045149392
720	0.2044879457
721	0.2044715215
722	0.2044369065
723	0.2043876653
724	0.2043362471
725	0.2042922564
726	0.2042542985
727	0.2042364315
728	0.20423564
729	0.2042295776
730	0.2041882566
731	0.2041698452
732	0.20414454
733	0.2041113426
734	0.2040896301
735	0.2040371891
736	0.2040048474
737	0.2039862783
738	0.2039573103
739	0.20394805
740	0.2039396597
741	0.2039029277
742	0.2038598351
743	0.2038395736
744	0.2037971384
745	0.2037690304
746	0.2037562503
747	0.203719453
748	0.2036901196
749	0.2036380767
750	0.2036209338
751	0.2035859459
752	0.2035400459
753	0.2035232891
754	0.2034856136
755	0.2034450471
756	0.2034015585
757	0.2033661176
758	0.2033275308
759	0.2033166801
760	0.2033018559
761	0.2032949203
762	0.2032586037
763	0.2032342687
764	0.2032032348
765	0.2031862622
766	0.2031588779
767	0.2031195524
768	0.2031021401
769	0.2030619839
770	0.2030351641
771	0.2030051916
772	0.202979641
773	0.2029669152
774	0.2029473286
775	0.2029164236
776	0.2028947167
777	0.2028774125
778	0.2028457206
779	0.2027971175
780	0.2027672917
781	0.2027001785
782	0.2026762783
783	0.2026419551
784	0.2026088461
785	0.2025569583
786	0.2025218153
787	0.2025045815
788	0.2024973074
789	0.2024718783
790	0.2024417267
791	0.20242064
792	0.202393745
793	0.2023659261
794	0.2023316638
795	0.2022968985
796	0.2022801919
797	0.2022571922
798	0.2022198501
799	0.2022047814
800	0.2021853834
801	0.2021656581
802	0.2021142691
803	0.2020904099
804	0.2020309103
805	0.2020022533
806	0.2019811991
807	0.2019561219
808	0.2019180473
809	0.2019075092
810	0.2018892895
811	0.2018619292
812	0.201822402
813	0.201789616
814	0.2017494978
815	0.2017169797
816	0.2016954702
817	0.2016724758
818	0.2016623039
819	0.2016506698
820	0.2016167421
821	0.2015846266
822	0.2015493858
823	0.2015337013
824	0.2014921123
825	0.201438338
826	0.2013990035
827	0.2013475239
828	0.2013001359
829	0.2012783159
830	0.2012527499
831	0.2012255367
832	0.2011793253
833	0.2011386688
834	0.2010852437
835	0.201051659
836	0.201016825
837	0.2010028231
838	0.20097538
839	0.2009327196
840	0.2008941192
841	0.2008722176
842	0.2008584149
843	0.2008293469
844	0.200798831
845	0.2007780689
846	0.2007521369
847	0.2007315626
848	0.2006900823
849	0.200662628
850	0.2006382696
851	0.2006044855
852	0.2005550348
853	0.2005425274
854	0.2005117854
855	0.2004946478
856	0.2004569076
857	0.200441808
858	0.200402805
859	0.2003883704
860	0.2003607713
861	0.2003396104
862	0.2003121135
863	0.2002712675
864	0.2002435855
865	0.2002061782
866	0.2001952918
867	0.2001841164
868	0.2001507602
869	0.2001111734
870	0.2000839566
871	0.2000727105
872	0.2000533935
873	0.2000477544
874	0.2000446919
875	0.2000443741
876	0.2000396583
877	0.2000325445
878	0.2000057446
879	0.1999764277
880	0.1999304951
881	0.1999203401
882	0.1999032141
883	0.1998730266
884	0.1998373564
885	0.1997922413
886	0.1997582256
887	0.1997319956
888	0.199713138
889	0.1996926623
890	0.1996765009
891	0.1996411438
892	0.1996137994
893	0.1995915992
894	0.1995685536
895	0.1995678704
896	0.1995428423
897	0.1995145194
898	0.1994678995
899	0.1994520859
900	0.1994271639
901	0.199402794
902	0.1993709998
903	0.1993517471
904	0.1993168285
905	0.1992810762
906	0.1992518363
907	0.1992159936
908	0.1991809699
909	0.1991716713
910	0.1991431854
911	0.1991166839
912	0.199102698
913	0.1990817163
914	0.1990490183
915	0.1990458201
916	0.1990180061
917	0.1989728654
918	0.1989428435
919	0.198920925
920	0.1988998198
921	0.1988606499
922	0.1988404946
923	0.198811186
924	0.1987984007
925	0.1987719624
926	0.1987412154
927	0.1987002125
928	0.1986718269
929	0.1986444301
930	0.1986026372
931	0.1985621869
932	0.1985309135
933	0.1985059019
934	0.1984952668
935	0.1984794855
936	0.1984519157
937	0.1984163874
938	0.1983742216
939	0.198354625
940	0.1983183743
941	0.1982991082
942	0.1982784279
943	0.1982622261
944	0.1982245232
945	0.1981963398
946	0.1981812517
947	0.1981455377
948	0.1981191838
949	0.1980935768
950	0.1980620635
951	0.1980388821
952	0.1980015168
953	0.1979653336
954	0.1979392533
955	0.1978970216
956	0.1978721466
957	0.1978614008
958	0.1978176252
959	0.1978143114
960	0.197792428
961	0.1977820894
962	0.1977534547
963	0.1977428801
964	0.1977220685
965	0.1976919471
966	0.1976685027
967	0.1976536265
968	0.1976232015
969	0.1976071393
970	0.1975877444
971	0.1975463425
972	0.1975280755
973	0.1975012678
974	0.197488756
975	0.1974643478
976	0.1974463257
977	0.1974179206
978	0.1973807841
979	0.1973789755
980	0.1973612342
981	0.1973429025
982	0.1973108473
983	0.1972907018
984	0.1972532936
985	0.1972205014
986	0.1972168655
987	0.1971894341
988	0.1971734842
989	0.1971566655
990	0.1971416238
991	0.1971205114
992	0.1970998256
993	0.1970734454
994	0.1970527923
995	0.1970372803
996	0.197020136
997	0.1970193374
998	0.1969952308
999	0.1969517741
